title,summary,country,description,geographical_scope,start_date.specificity,start_date.date,start_date.note,end_date.specificity,end_date.date,end_date.note,software_used,involved_companies,enforcement_details,data_storage_details,link,surveillance_types.0.main_type,surveillance_types.0.sub_type,surveillance_types.1.main_type,surveillance_types.1.sub_type,surveillance_types.2.main_type,surveillance_types.2.sub_type,surveillance_types.3.main_type,surveillance_types.3.sub_type,surveillance_types.4.main_type,surveillance_types.4.sub_type,legal_base,legislation.description,legislation.pass_date.specificity,legislation.pass_date.date,legislation.pass_date.note,legislation.end_date.specificity,legislation.end_date.date,legislation.end_date.note,legislation.link,legislation.notes,notes
Dubai number plate scanner detect lockdown breakers,,AE,Cameras typically used to catch speeding motorists in Dubai will now analyze drivers’ license plates and determine whether they are deemed essential workers,Regional,,,,,,,Artificial intelligence allegedly tracks drivers throughout their entire trip and will know whether or not the route they take is to their job.,,,,https://gulfnews.com/uae/covid-19-precaution-dubai-police-using-ai-to-find-out-if-your-trip-was-essential-1.70829268,"Location surveillance (mapping, contact tracing etc)","[""Number plate recognition""]",,,,,,,,,,,,,,,,,,,
Afghan symptom checker app,,AF,"In Afghanistan the Ministry of Public Health and Ministry of Telecommunications and Information Technology have launched the ""corona.asan.gov.af"" software to provide health advice in three English, Dari, and Pashto; using the questions embedded in the software users can evaluate themselves for the virus.",National,,,,,,,"Unclear, beyond the app",,,Unclear,https://tolonews.com/afghanistan/afghan-ministries-launch-coronavirus-tracking-app,"Biometric surveillance (monitoring faces, health, body functions, etc)","[""symptom checker""]",,,,,,,,,,,,,,,,,,,
UAE enforcement drones,,AE,"In the United Arab Emirates, police were using drones equipped with a loudspeaker in the emirate of Sharjah to order people to stay home, while police in Dubai have taken similar steps.",Regional,,,,,,,,,,,https://www.france24.com/en/20200405-jordan-becomes-latest-mideast-country-to-deploy-drones-in-virus-response,Drone surveillance,"[""Lockdown enforcement""]",,,,,,,,,,,,,,,,,,,
Co-Track contact tracing app,,AR,Tracks its users locations via GPS and alerts them if they have crossed paths with an infected person who was also using the app. Developed by a group of independent developers and being used by at least on local government in the north of Argentina,Regional,,,Already started,,,,GPS,"[""Independent developers""]",Voluntary,Not sure,https://www.worldpoliticsreview.com/articles/28682/coronavirus-contact-tracing-and-the-right-to-privacy-in-a-pandemic,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,,,,,,,,,,
Quarantine app in Argentina,,AR,It’s not clear if the government is actively tracking people with that location data.,National,,,,,,,,,,,https://onezero.medium.com/the-pandemic-is-a-trojan-horse-for-surveillance-programs-around-the-world-887fa6f12ec9,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
UAE fever detection helmets,,AE,"Police in the UAE are deploying smart helmets that can scan the temperatures of hundreds of people per minute. The helmets apparently need less time and less contact than traditional thermometers can measure temperatures from five metres (16 ft) away and scan up to 200 people a minute, triggering an alert if a fever is detected.",National,,,,,,,"The smart helmet features an infrared temperature detector, an augmented-reality visor, a camera that can read QR codes, plus wifi, Bluetooth and 5G so it can beam data to the nearest hospital. Equipped with facial recognition technology, the helmet can also display the subject’s name on the AR visor, as well as their medical history.","[""KC Wearable""]",,,https://www.reuters.com/article/us-health-coronavirus-emirates-smart-hel/emirati-police-deploy-smart-tech-in-coronavirus-fight-idUSKCN2260YJ,"Biometric surveillance (monitoring faces, health, body functions, etc)","[""Health Monitoring (for instance temperature monitoring)""]",,,,,,,,,,,,,,,,,,,
"Quarantine app in Sante Fe and Rosario, Argentina",,AR,"The app will be installed by the province's Criminal Investigation Agency to track those who are under criminal investigation for violating quarantine. The app will send reports to the the MPA investigation office and coordinated by the Attorney General's Office. Individuals will be required to sign a document acknowledging that they have been informed that breaking quarantine will make them liable to a sentence of six months to two years in prison, which will also apply if the individual deletes or uninstalls the app or prevents it from operating.",Regional,,,,,,,,,,,https://privacyinternational.org/examples/3568/argentina-mandates-app-installation-quarantine-breakers,"Location surveillance (mapping, contact tracing etc)","[""Quarantine enforcement""]",,,,,,,,,,,,,,,,,,,
Austria's largest telecoms company provides location data to government,,AT,"A1 , the largest telecommunications company in Austria, has provided the government with aggregated and anonymized ""movement profiles"" of all mobile phone users in the country. A1's data is being anlyzed by data firm Invenium that can provide details about how people are moving around on a ""municipality basis",National,,,,,,,,"[""A1"",""Invenium""]",,,https://www.derstandard.at/story/2000115828957/mobilfunker-a1-liefert-bewegungsstroeme-von-handynutzern-der-regierung,"Location surveillance (mapping, contact tracing etc)","[""Use of aggregated location data (data of groups in stead of individuals)""]",,,,,,,,,,,,,,,,,,,
Palantir software used by agencies in Austria,,AT,"Palantir is making a version of its ""Foundry"" data-mining software available for free to governments and international organisations involved in the Covid-19 response. At the end of March, beginning of April, Bloomberg reported ""a dozen governments joined the US and UK in adopting Palantir software to fight the virus. They include agencies in Austria, Canada, Greece and Spain although people involved were not authorized to discuss the work publicly. Countries are seeking to quickly gather data so health officials can track the spread and then map which resources they will likely need. Precise location data isn't currently used by Palatnir, according to Bloomberg, but some of the company's customers are ""considering it"".",Regional,,,,,,,Palantir is notoriously secretive,"[""Palantir""]",,Unclear,https://www.bloomberg.com/news/articles/2020-04-02/coronavirus-news-palantir-gives-away-data-mining-tools,"Predictive analytics (artificial intelligence, big data etc)","[""Resource management (e.g. ICU supplies)""]",,,,,,,,,,,,,,,,,,,
Australian coronavirus contact tracing app,,AU,"Australia's app, which is based on Singapore’s TraceTogether software, uses Bluetooth signals to log when people have been close to one another.",National,month,2020-04-26T00:00:00.000Z,,,,,Bluetooth,,Voluntary,"The government said only state health authorities would qualify. The data will be stored in Australia, and the health minister said ""not even a court order"" would allow other authorities such as the police to access it.",https://www.bbc.co.uk/news/world-australia-52433340,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,,The government... promised to legislate privacy protections around it as authorities try to get the country and the economy back onto more normal footing.,,,,,,,,,
"Austrian contact tracing app, Stopp Corona",,AT,"According to the Red Cross, the intent of the Stopp Corona-App is to help interrupt the chain of infection of the Corona virus as fast as possible. It uses an anonymous contact diary which logs personal encounters using a ""digital handshake"". If one person shows symptoms of the corona infection, all those who ""digitaly shook hands"" with that person will be automatically informed, that one of their anonymous contacts shows signs of an infection.",National,,,,,,,"The automatic digital handshake is technically implemented by the p2pkit. This enables spatial distances between potential handshake partners to be determined (discovery function) and sent to these messages (messaging function). The discovery function uses Bluetooth and Wifi Direct. The Bluetooth function does not pair with other devices, but compares the received signal strengths of the devices with each other. If these are similar, it can be concluded that they are close together.","[""Red Cross""]",,The digital handshake will be saved locally and encrypted on the device,https://www.roteskreuz.at/site/meet-the-stopp-corona-app/,"Location surveillance (mapping, contact tracing etc)","[""Individual contact tracing""]",,,,,,,,,true,"According to Section 5 (3) of the Epidemic Act, at the request of a district administrative authority, all persons, such as in particular doctors, laboratories, employers, family members and staff from community facilities, who could contribute to the surveys, are obliged to provide information. Even if such a transmission of data (telephone number) by the Red Cross to the responsible district administrative authority is not intended and is also not technically implemented, we could be forced to provide your telephone number. Should such a case occur, the legal basis is Art 6 Paragraph 1 lit c in conjunction with Art. 9 Paragraph 2 lit i GDPR.",,,,,,,,,
